index,drugbank_id
1616,DB01849
1617,DB01850
1618,DB01851
1619,DB01852
1620,DB01853
1621,DB01854
1622,DB01855
1623,DB01856
1624,DB01857
1625,DB01858
1626,DB01859
1627,DB01860
1628,DB01861
1629,DB01862
1630,DB01863
1631,DB01864
1632,DB01865
1633,DB01866
1634,DB01868
1635,DB01870
1636,DB01871
1637,DB01872
1638,DB01873
1639,DB01874
1640,DB01875
1641,DB01876
1642,DB01877
1643,DB01878
1644,DB01879
1645,DB01880
1646,DB01881
1647,DB01882
1648,DB01883
1649,DB01884
1650,DB01885
1651,DB01887
1652,DB01888
1653,DB01889
1654,DB01890
1655,DB01891
1656,DB01892
1657,DB01893
1658,DB01895
1659,DB01896
1660,DB01897
1661,DB01898
1662,DB01899
1663,DB01901
1664,DB01902
1665,DB01903
1666,DB01905
1667,DB01906
1668,DB01908
1669,DB01909
1670,DB01910
1671,DB01911
1672,DB01912
1673,DB01914
1674,DB01915
1675,DB01917
1676,DB01918
1677,DB01919
1678,DB01920
1679,DB01921
1680,DB01922
1681,DB01923
1682,DB01924
1683,DB01925
1684,DB01926
1685,DB01927
1686,DB01930
1687,DB01931
1688,DB01932
1689,DB01933
1690,DB01934
1691,DB01935
1692,DB01936
1693,DB01937
1694,DB01938
1695,DB01939
1696,DB01940
1697,DB01941
1698,DB01942
1699,DB01944
1700,DB01945
1701,DB01946
1702,DB01947
1703,DB01948
1704,DB01949
1705,DB01950
1706,DB01951
1707,DB01952
1708,DB01953
1709,DB01954
1710,DB01955
1711,DB01956
1712,DB01957
1713,DB01958
1714,DB01959
1715,DB01960
1716,DB01961
1717,DB01962
1718,DB01963
1719,DB01964
1720,DB01965
1721,DB01966
1722,DB01967
1723,DB01968
1724,DB01969
1725,DB01970
1726,DB01971
1727,DB01972
1728,DB01973
1729,DB01974
1730,DB01975
1731,DB01976
1732,DB01977
1733,DB01978
1734,DB01979
1735,DB01980
1736,DB01981
1737,DB01982
1738,DB01983
1739,DB01984
1740,DB01985
1741,DB01986
1742,DB01987
1743,DB01988
1744,DB01989
1745,DB01990
1746,DB01991
1747,DB01992
1748,DB01993
1749,DB01994
1750,DB01995
1751,DB01996
1752,DB01997
1753,DB01998
1754,DB01999
1755,DB02001
1756,DB02002
1757,DB02004
1758,DB02005
1759,DB02006
1760,DB02007
1761,DB02008
1762,DB02009
1763,DB02010
1764,DB02011
1765,DB02013
1766,DB02014
1767,DB02015
1768,DB02016
1769,DB02017
1770,DB02018
1771,DB02019
1772,DB02020
1773,DB02021
1774,DB02022
1775,DB02023
1776,DB02024
1777,DB02025
1778,DB02026
1779,DB02027
1780,DB02028
1781,DB02029
1782,DB02030
1783,DB02031
1784,DB02032
1785,DB02033
1786,DB02034
1787,DB02035
1788,DB02036
1789,DB02037
1790,DB02038
1791,DB02039
1792,DB02041
1793,DB02042
1794,DB02043
1795,DB02044
1796,DB02045
1797,DB02046
1798,DB02047
1799,DB02048
1800,DB02049
1801,DB02051
1802,DB02052
1803,DB02053
1804,DB02054
1805,DB02055
1806,DB02056
1807,DB02057
1808,DB02058
1809,DB02059
1810,DB02060
1811,DB02061
1812,DB02062
1813,DB02063
1814,DB02065
1815,DB02066
1816,DB02067
1817,DB02068
1818,DB02069
1819,DB02070
1820,DB02071
1821,DB02072
1822,DB02073
1823,DB02074
1824,DB02075
1825,DB02076
1826,DB02077
1827,DB02078
1828,DB02079
1829,DB02080
1830,DB02081
1831,DB02082
1832,DB02083
1833,DB02084
1834,DB02085
1835,DB02086
1836,DB02087
1837,DB02088
1838,DB02089
1839,DB02090
1840,DB02091
1841,DB02092
1842,DB02093
1843,DB02094
1844,DB02095
1845,DB02096
1846,DB02097
1847,DB02098
1848,DB02099
1849,DB02100
1850,DB02101
1851,DB02102
1852,DB02103
1853,DB02104
1854,DB02105
1855,DB02106
1856,DB02107
1857,DB02108
1858,DB02109
1859,DB02110
1860,DB02111
1861,DB02112
1862,DB02113
1863,DB02114
1864,DB02115
1865,DB02116
1866,DB02118
1867,DB02119
